"threshold","precision","recall","f1","accuracy","roc_auc","pr_auc","tp","fp","tn","fn"
0.46,0.661290322580645,0.656,0.65863453815261,0.724919093851133,0.788826086956522,0.640929795437529,82,42,142,43
0.47,0.672131147540984,0.656,0.663967611336032,0.731391585760518,0.788826086956522,0.640929795437529,82,40,144,43
0.48,0.672268907563025,0.64,0.655737704918033,0.728155339805825,0.788826086956522,0.640929795437529,80,39,145,45
0.49,0.669491525423729,0.632,0.650205761316872,0.724919093851133,0.788826086956522,0.640929795437529,79,39,145,46
0.5,0.672413793103448,0.624,0.647302904564315,0.724919093851133,0.788826086956522,0.640929795437529,78,38,146,47
0.51,0.690265486725664,0.624,0.65546218487395,0.73462783171521,0.788826086956522,0.640929795437529,78,35,149,47
0.52,0.6875,0.616,0.649789029535865,0.731391585760518,0.788826086956522,0.640929795437529,77,35,149,48
0.53,0.675925925925926,0.584,0.626609442060086,0.718446601941748,0.788826086956522,0.640929795437529,73,35,149,52
0.54,0.679245283018868,0.576,0.623376623376623,0.718446601941748,0.788826086956522,0.640929795437529,72,34,150,53
0.55,0.686274509803922,0.56,0.616740088105727,0.718446601941748,0.788826086956522,0.640929795437529,70,32,152,55
0.56,0.683168316831683,0.552,0.610619469026549,0.715210355987055,0.788826086956522,0.640929795437529,69,32,152,56
0.57,0.6875,0.528,0.597285067873303,0.711974110032362,0.788826086956522,0.640929795437529,66,30,154,59
0.58,0.684210526315789,0.52,0.590909090909091,0.70873786407767,0.788826086956522,0.640929795437529,65,30,154,60
0.59,0.681318681318681,0.496,0.574074074074074,0.702265372168285,0.788826086956522,0.640929795437529,62,29,155,63
0.6,0.688888888888889,0.496,0.576744186046512,0.705501618122977,0.788826086956522,0.640929795437529,62,28,156,63
0.61,0.689655172413793,0.48,0.566037735849057,0.702265372168285,0.788826086956522,0.640929795437529,60,27,157,65
0.62,0.682352941176471,0.464,0.552380952380952,0.6957928802589,0.788826086956522,0.640929795437529,58,27,157,67
0.63,0.674698795180723,0.448,0.538461538461538,0.689320388349515,0.788826086956522,0.640929795437529,56,27,157,69
0.64,0.675,0.432,0.526829268292683,0.686084142394822,0.788826086956522,0.640929795437529,54,26,158,71
0.65,0.671052631578947,0.408,0.507462686567164,0.679611650485437,0.788826086956522,0.640929795437529,51,25,159,74
0.66,0.68,0.408,0.51,0.682847896440129,0.788826086956522,0.640929795437529,51,24,160,74
0.67,0.671232876712329,0.392,0.494949494949495,0.676375404530744,0.788826086956522,0.640929795437529,49,24,160,76
0.68,0.661971830985915,0.376,0.479591836734694,0.669902912621359,0.788826086956522,0.640929795437529,47,24,160,78
0.69,0.651515151515151,0.344,0.450261780104712,0.660194174757282,0.788826086956522,0.640929795437529,43,23,161,82
0.7,0.661538461538462,0.344,0.452631578947368,0.663430420711974,0.788826086956522,0.640929795437529,43,22,162,82
0.71,0.693548387096774,0.344,0.459893048128342,0.673139158576052,0.788826086956522,0.640929795437529,43,19,165,82
0.72,0.704918032786885,0.344,0.462365591397849,0.676375404530744,0.788826086956522,0.640929795437529,43,18,166,82
0.73,0.719298245614035,0.328,0.450549450549451,0.676375404530744,0.788826086956522,0.640929795437529,41,16,168,84
0.74,0.69811320754717,0.296,0.415730337078652,0.663430420711974,0.788826086956522,0.640929795437529,37,16,168,88
0.75,0.686274509803922,0.28,0.397727272727273,0.656957928802589,0.788826086956522,0.640929795437529,35,16,168,90
0.76,0.68,0.272,0.388571428571429,0.653721682847896,0.788826086956522,0.640929795437529,34,16,168,91
0.77,0.673913043478261,0.248,0.362573099415205,0.647249190938511,0.788826086956522,0.640929795437529,31,15,169,94
0.78,0.666666666666667,0.24,0.352941176470588,0.644012944983819,0.788826086956522,0.640929795437529,30,15,169,95
0.79,0.625,0.2,0.303030303030303,0.627831715210356,0.788826086956522,0.640929795437529,25,15,169,100
0.8,0.621621621621622,0.184,0.283950617283951,0.624595469255663,0.788826086956522,0.640929795437529,23,14,170,102
0.81,0.638888888888889,0.184,0.285714285714286,0.627831715210356,0.788826086956522,0.640929795437529,23,13,171,102
0.82,0.628571428571429,0.176,0.275,0.624595469255663,0.788826086956522,0.640929795437529,22,13,171,103
0.83,0.625,0.16,0.254777070063694,0.621359223300971,0.788826086956522,0.640929795437529,20,12,172,105
0.84,0.666666666666667,0.16,0.258064516129032,0.627831715210356,0.788826086956522,0.640929795437529,20,10,174,105
0.85,0.678571428571429,0.152,0.248366013071895,0.627831715210356,0.788826086956522,0.640929795437529,19,9,175,106
0.86,0.64,0.128,0.213333333333333,0.618122977346278,0.788826086956522,0.640929795437529,16,9,175,109
0.87,0.619047619047619,0.104,0.178082191780822,0.611650485436893,0.788826086956522,0.640929795437529,13,8,176,112
0.88,0.65,0.104,0.179310344827586,0.614886731391586,0.788826086956522,0.640929795437529,13,7,177,112
0.89,0.684210526315789,0.104,0.180555555555556,0.618122977346278,0.788826086956522,0.640929795437529,13,6,178,112
0.9,0.647058823529412,0.088,0.154929577464789,0.611650485436893,0.788826086956522,0.640929795437529,11,6,178,114
0.91,0.642857142857143,0.072,0.129496402877698,0.608414239482201,0.788826086956522,0.640929795437529,9,5,179,116
0.92,0.615384615384615,0.064,0.115942028985507,0.605177993527508,0.788826086956522,0.640929795437529,8,5,179,117
0.93,0.6,0.048,0.0888888888888889,0.601941747572815,0.788826086956522,0.640929795437529,6,4,180,119
0.94,0.555555555555556,0.04,0.0746268656716418,0.598705501618123,0.788826086956522,0.640929795437529,5,4,180,120
0.95,0.666666666666667,0.032,0.0610687022900763,0.601941747572815,0.788826086956522,0.640929795437529,4,2,182,121
