"feature","group"
"S1_m07_ASC_VV_minus_VH","S1_monthly"
"S1_m07_DESC_VH","S1_monthly"
"S1_m07_DESC_VV","S1_monthly"
"S1_m07_DESC_VV_minus_VH","S1_monthly"
"S1_m08_ASC_VH","S1_monthly"
"S1_m08_ASC_VV","S1_monthly"
"S1_m08_ASC_VV_minus_VH","S1_monthly"
"S1_m08_DESC_VH","S1_monthly"
"S1_m08_DESC_VV","S1_monthly"
"S1_m08_DESC_VV_minus_VH","S1_monthly"
"S1_m09_ASC_VH","S1_monthly"
"S1_m09_ASC_VV","S1_monthly"
"S1_m09_ASC_VV_minus_VH","S1_monthly"
"S1_m09_DESC_VH","S1_monthly"
"S1_m09_DESC_VV","S1_monthly"
"S1_m09_DESC_VV_minus_VH","S1_monthly"
"S1_m10_ASC_VH","S1_monthly"
"S1_m10_ASC_VV","S1_monthly"
"S1_m10_ASC_VV_minus_VH","S1_monthly"
"S1_m10_DESC_VH","S1_monthly"
"S1_m10_DESC_VV","S1_monthly"
"S1_m10_DESC_VV_minus_VH","S1_monthly"
"S1_m11_ASC_VH","S1_monthly"
"S1_m11_ASC_VV","S1_monthly"
"S1_m11_ASC_VV_minus_VH","S1_monthly"
"S1_m11_DESC_VH","S1_monthly"
"S1_m11_DESC_VV","S1_monthly"
"S1_m11_DESC_VV_minus_VH","S1_monthly"
"S1_m12_ASC_VH","S1_monthly"
"S1_m12_ASC_VV","S1_monthly"
"S1_m12_ASC_VV_minus_VH","S1_monthly"
"S1_m12_DESC_VH","S1_monthly"
"S1_m12_DESC_VV","S1_monthly"
"S1_m12_DESC_VV_minus_VH","S1_monthly"
"LST_growing_amplitude_C","Landsat_LST"
"LST_growing_max_C","Landsat_LST"
"LST_growing_mean_C","Landsat_LST"
"LST_growing_min_C","Landsat_LST"
"LST_spring_amplitude_C","Landsat_LST"
"LST_spring_max_C","Landsat_LST"
"LST_spring_mean_C","Landsat_LST"
"LST_spring_min_C","Landsat_LST"
"LST_summer_amplitude_C","Landsat_LST"
"LST_summer_max_C","Landsat_LST"
"LST_summer_mean_C","Landsat_LST"
"LST_summer_min_C","Landsat_LST"
"JRC_dist_max_extent_m","Hydrology"
"JRC_max_extent","Hydrology"
"S2_EVI_annual_mean","S2_temporal"
"S2_EVI_annual_min","S2_temporal"
"S2_EVI_annual_max","S2_temporal"
"S2_EVI_annual_amplitude","S2_temporal"
"S2_EVI_annual_sd","S2_temporal"
"S2_MNDWI_annual_mean","S2_temporal"
"S2_MNDWI_annual_min","S2_temporal"
"S2_MNDWI_annual_max","S2_temporal"
"S2_MNDWI_annual_amplitude","S2_temporal"
"S2_MNDWI_annual_sd","S2_temporal"
"S2_NBR_annual_mean","S2_temporal"
"S2_NBR_annual_min","S2_temporal"
"S2_NBR_annual_max","S2_temporal"
"S2_NBR_annual_amplitude","S2_temporal"
"S2_NBR_annual_sd","S2_temporal"
"S2_NBR2_annual_mean","S2_temporal"
"S2_NBR2_annual_min","S2_temporal"
"S2_NBR2_annual_max","S2_temporal"
"S2_NBR2_annual_amplitude","S2_temporal"
"S2_NBR2_annual_sd","S2_temporal"
"S2_NDMI_annual_mean","S2_temporal"
"S2_NDMI_annual_min","S2_temporal"
"S2_NDMI_annual_max","S2_temporal"
"S2_NDMI_annual_amplitude","S2_temporal"
"S2_NDMI_annual_sd","S2_temporal"
"S2_NDRE_annual_mean","S2_temporal"
"S2_NDRE_annual_min","S2_temporal"
"S2_NDRE_annual_max","S2_temporal"
"S2_NDRE_annual_amplitude","S2_temporal"
"S2_NDRE_annual_sd","S2_temporal"
"S2_NDVI_annual_mean","S2_temporal"
"S2_NDVI_annual_min","S2_temporal"
"S2_NDVI_annual_max","S2_temporal"
"S2_NDVI_annual_amplitude","S2_temporal"
"S2_NDVI_annual_sd","S2_temporal"
"S2_NDWI_annual_mean","S2_temporal"
"S2_NDWI_annual_min","S2_temporal"
"S2_NDWI_annual_max","S2_temporal"
"S2_NDWI_annual_amplitude","S2_temporal"
"S2_NDWI_annual_sd","S2_temporal"
"S2_blue_annual_mean","S2_temporal"
"S2_blue_annual_min","S2_temporal"
"S2_blue_annual_max","S2_temporal"
"S2_blue_annual_amplitude","S2_temporal"
"S2_blue_annual_sd","S2_temporal"
"S2_green_annual_mean","S2_temporal"
"S2_green_annual_min","S2_temporal"
"S2_green_annual_max","S2_temporal"
"S2_green_annual_amplitude","S2_temporal"
"S2_green_annual_sd","S2_temporal"
"S2_nir_annual_mean","S2_temporal"
"S2_nir_annual_min","S2_temporal"
"S2_nir_annual_max","S2_temporal"
"S2_nir_annual_amplitude","S2_temporal"
"S2_nir_annual_sd","S2_temporal"
"S2_nir8a_annual_mean","S2_temporal"
"S2_nir8a_annual_min","S2_temporal"
"S2_nir8a_annual_max","S2_temporal"
"S2_nir8a_annual_amplitude","S2_temporal"
"S2_nir8a_annual_sd","S2_temporal"
"S2_re1_annual_mean","S2_temporal"
"S2_re1_annual_min","S2_temporal"
"S2_re1_annual_max","S2_temporal"
"S2_re1_annual_amplitude","S2_temporal"
"S2_re1_annual_sd","S2_temporal"
"S2_re2_annual_mean","S2_temporal"
"S2_re2_annual_min","S2_temporal"
"S2_re2_annual_max","S2_temporal"
"S2_re2_annual_amplitude","S2_temporal"
