"feature","group","is_numeric","missing_share","unique_values","standard_deviation","keep_technical","remove_reason","priority_score"
"S2_m07_nir","S2_monthly",TRUE,0.00970873786407767,297,0.125678031358373,TRUE,"behalten",-1.00970873786408
"S2_m07_re1","S2_monthly",TRUE,0.00970873786407767,287,0.0686821251765071,TRUE,"behalten",-1.00970873786408
"S2_m07_swir1","S2_monthly",TRUE,0.00970873786407767,298,0.0861766457425058,TRUE,"behalten",-1.00970873786408
"S2_m09_blue","S2_monthly",TRUE,0.00970873786407767,263,0.0411348104553931,TRUE,"behalten",-1.00970873786408
"S2_m09_nir","S2_monthly",TRUE,0.00970873786407767,295,0.111990669632846,TRUE,"behalten",-1.00970873786408
"S2_m09_re1","S2_monthly",TRUE,0.00970873786407767,285,0.0592798691715496,TRUE,"behalten",-1.00970873786408
"S2_m09_swir1","S2_monthly",TRUE,0.00970873786407767,300,0.07948326360511,TRUE,"behalten",-1.00970873786408
"S2_m01_blue","S2_monthly",TRUE,0.0970873786407767,261,0.0902069386812812,TRUE,"behalten",-1.09708737864078
"S2_m01_nir","S2_monthly",TRUE,0.0970873786407767,275,0.114968400221241,TRUE,"behalten",-1.09708737864078
"S2_m01_re1","S2_monthly",TRUE,0.0970873786407767,272,0.0870478182280319,TRUE,"behalten",-1.09708737864078
"S2_m01_swir1","S2_monthly",TRUE,0.0970873786407767,268,0.0828942343347288,TRUE,"behalten",-1.09708737864078
"S2_m10_blue","S2_monthly",TRUE,0.113268608414239,249,0.0455365306986207,TRUE,"behalten",-1.11326860841424
"S2_m10_nir","S2_monthly",TRUE,0.113268608414239,267,0.112673055158878,TRUE,"behalten",-1.11326860841424
"S2_m10_re1","S2_monthly",TRUE,0.113268608414239,263,0.0534033634837655,TRUE,"behalten",-1.11326860841424
"S2_m10_swir1","S2_monthly",TRUE,0.113268608414239,264,0.0698859044788648,TRUE,"behalten",-1.11326860841424
"S2_m10_swir2","S2_monthly",TRUE,0.113268608414239,259,0.0559374613196583,TRUE,"behalten",-1.11326860841424
"S2_m12_blue","S2_monthly",TRUE,0.116504854368932,253,0.0383657281476839,TRUE,"behalten",-1.11650485436893
"S2_m12_nir","S2_monthly",TRUE,0.116504854368932,263,0.0964511873574916,TRUE,"behalten",-1.11650485436893
"S2_m12_re1","S2_monthly",TRUE,0.116504854368932,257,0.0521446034050462,TRUE,"behalten",-1.11650485436893
"S2_m12_red","S2_monthly",TRUE,0.116504854368932,251,0.0452558090830762,TRUE,"behalten",-1.11650485436893
