system:index,LST_growing_amplitude_C,LST_growing_max_C,LST_growing_mean_C,LST_growing_min_C,LST_spring_amplitude_C,LST_spring_max_C,LST_spring_mean_C,LST_spring_min_C,LST_summer_amplitude_C,LST_summer_max_C,LST_summer_mean_C,LST_summer_min_C,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
000000000000000000d5,20.976888334819108,29.22089051942116,20.943407346020287,8.244002184602055,19.14068446176556,27.384686646367616,18.01160412607817,8.244002184602055,8.945799242170766,29.22089051942116,24.92882134536544,20.275091277250397,2499.4,Kein_Niedermoor,Forest,0,P0214,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,19.67904409914893,27.204192064680857,18.58053706390917,7.525147965531926,15.531385914893642,23.05653388042557,15.710811444494702,7.525147965531926,5.688070105531877,27.204192064680857,23.797487892595758,21.51612195914898,2512.2,Kein_Niedermoor,Forest,0,P0217,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,22.408094579826596,29.00507482150291,19.838920785377738,6.5969802416763175,17.866484473526004,24.46346471520232,16.582732916034704,6.5969802416763175,7.4977726234682045,29.00507482150291,24.784411195289042,21.50730219803471,2486.1,Kein_Niedermoor,Forest,0,P0218,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,21.925224660241923,32.11084393491936,21.608370217510092,10.185619274677435,16.031832310403207,26.217451585080642,18.87987170517138,10.185619274677435,9.08082004088708,32.11084393491936,27.3708338193203,23.030023894032283,2486.3,Kein_Niedermoor,Forest,0,P0221,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,21.235842142543362,29.58924506338154,18.886206955094863,8.353402920838176,15.724877612774565,24.078280533612737,17.372275269792453,8.353402920838176,12.42211700106939,29.58924506338154,24.399474803684992,17.16712806231215,2552.2,Kein_Niedermoor,Forest,0,P0226,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,18.6261858883068,26.855887789522445,18.809899377719272,8.229701901215646,16.390528751722144,24.62023065293779,16.934653571056465,8.229701901215646,4.671735885846606,26.855887789522445,23.781457118842273,22.18415190367584,2502.7,Kein_Niedermoor,Forest,0,P0229,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,21.328080031067206,30.18761733233203,19.643485571430848,8.859537301264824,18.125210654940712,26.98474795620554,17.700290814281967,8.859537301264824,7.627755207035562,30.18761733233203,25.890674204604757,22.559862125296466,2592.2,Kein_Niedermoor,Forest,0,P0234,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed,24.035570505644703,30.15324668318054,19.041388207080253,6.117676177535838,15.340289222578795,21.457965400114634,14.962466535058747,6.117676177535838,10.711795558022937,30.15324668318054,24.34430047338111,19.441451125157606,2532.4,Kein_Niedermoor,Forest,0,P0238,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,25.467026454026364,34.039864044480254,22.758453642288373,8.572837590453892,18.370986730629603,26.943824321083486,18.26021489656225,8.572837590453892,14.777596782079069,34.039864044480254,28.586939571837494,19.26226726240118,2483.0,Kein_Niedermoor,Forest,0,P0242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3,20.89347996225502,28.153571531785254,19.483435522153325,7.26009156953023,14.187549531624166,21.447641101154392,15.473156857041637,7.26009156953023,8.319001885369122,28.153571531785254,24.97757888991613,19.83456964641613,2492.8,Kein_Niedermoor,Forest,0,P0244,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,22.92308683873486,29.079362769502026,20.425678617292075,6.156275930767166,20.714880308075372,26.871156238842534,17.707727997082113,6.156275930767166,7.054347051278608,29.079362769502026,25.0922976430552,22.02501571822343,2492.8,Kein_Niedermoor,Forest,0,P0248,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,22.59033567085961,33.821080852664785,21.56053578944844,11.23074518180517,9.528685640974219,20.75943082277939,17.12937535818258,11.23074518180517,14.006668900487123,33.821080852664785,28.850297948868214,19.81441195217766,2528.7,Kein_Niedermoor,Grasland,0,P0136,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,21.748934667140897,34.31268299366444,23.26762732265064,12.563748326523536,19.06675243586575,31.630500762389282,20.799220226217468,12.563748326523536,9.809552233932866,34.31268299366444,28.572170291152464,24.503130759731572,2490.6,Kein_Niedermoor,Grasland,0,P0187,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,21.631720569193554,35.5605127787097,24.842399374296292,13.928792209516143,20.115488734838696,35.41306013096775,24.476110056112915,15.297571396129047,17.012133309919363,35.46304407935485,27.108596306070403,18.450910769435495,2519.2,Kein_Niedermoor,Grasland,0,P0206,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,19.574525677597673,30.805986164833598,22.445983595530738,11.231460487235926,16.63274814876988,27.864208636005813,19.7006505589349,11.231460487235926,7.152164804891456,30.805986164833598,26.88369114806081,23.65382135994215,2486.3,Kein_Niedermoor,Grasland,0,P0219,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,20.68493890164894,31.18923673537235,20.97991495825467,10.504297833723408,14.804635472712773,25.30893330643618,17.0995776410439,10.504297833723408,8.070413379654257,31.18923673537235,27.614115082074488,23.118823355718092,2532.4,Kein_Niedermoor,Grasland,0,P0230,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,23.85014222969608,35.07321842764111,24.49206598146275,11.22307619794503,23.85014222969608,35.07321842764111,21.749466794228262,11.22307619794503,11.708553645325617,34.30057278072363,29.697653360642573,22.592019135398,2532.4,Kein_Niedermoor,Grasland,0,P0235,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,24.09511865049664,33.092073642067135,21.82771116131545,8.996954991570492,15.957996720644307,24.9549517122148,18.521377504571447,8.996954991570492,11.410456455060404,33.092073642067135,27.757890820453518,21.681617187006733,2492.8,Kein_Niedermoor,Grasland,0,P0240,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,20.160090377452992,30.301509166657045,21.74180520971058,10.141418789204053,15.305522573748213,25.446941362952266,18.3923479208799,10.141418789204053,6.6631999785238785,30.301509166657045,27.22652284101304,23.638309188133157,2502.7,Kein_Niedermoor,Grasland,0,P0243,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,39.57612953315434,48.213605167597336,28.947827450935137,8.637475634442996,39.57612953315434,48.213605167597336,27.129921281488276,8.637475634442996,24.923320954308718,44.6062635631678,33.07378959160319,19.682942608859072,2501.5,Kein_Niedermoor,Hochmoor,0,P0251,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,22.618668999971327,32.244688069914055,22.08802544255236,9.62601906994273,18.07345162212033,27.699470692063063,18.773668180703122,9.62601906994273,9.473972836590258,32.244688069914055,27.416431213553025,22.7707152333238,2620.0,Kein_Niedermoor,Hochmoor,0,P0252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,21.82064955867052,31.203064194248558,22.366641684678157,9.382414635578046,20.642040196907505,30.024454832485556,21.597296886474005,9.382414635578046,6.365765889884381,31.203064194248558,27.58197659658961,24.837298304364182,2501.5,Kein_Niedermoor,Hochmoor,0,P0253,"{""type"":""MultiPoint"",""coordinates"":[]}"
