system:index,JRC_dist_max_extent_m,JRC_max_extent,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
000000000000000000ba,5000.0,0.0,2490.6,Kein_Niedermoor,Grasland,0,P0187,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,5000.0,0.0,2519.2,Kein_Niedermoor,Grasland,0,P0206,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,5000.0,0.0,2486.3,Kein_Niedermoor,Grasland,0,P0219,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,5000.0,0.0,2532.4,Kein_Niedermoor,Grasland,0,P0230,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,5000.0,0.0,2532.4,Kein_Niedermoor,Grasland,0,P0235,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,5000.0,0.0,2492.8,Kein_Niedermoor,Grasland,0,P0240,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,5000.0,0.0,2502.7,Kein_Niedermoor,Grasland,0,P0243,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,5000.0,0.0,2501.5,Kein_Niedermoor,Hochmoor,0,P0251,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,5000.0,0.0,2620.0,Kein_Niedermoor,Hochmoor,0,P0252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,5000.0,0.0,2501.5,Kein_Niedermoor,Hochmoor,0,P0253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,5000.0,0.0,2488.5,Kein_Niedermoor,Hochmoor,0,P0254,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,5000.0,0.0,2501.5,Kein_Niedermoor,Hochmoor,0,P0255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,5000.0,0.0,2527.6,Kein_Niedermoor,Hochmoor,0,P0256,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,5000.0,0.0,2527.6,Kein_Niedermoor,Hochmoor,0,P0257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,3011.6959064327484,0.3976608187134503,2501.3,Kein_Niedermoor,Hochmoor,0,P0258,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,5000.0,0.0,2530.8,Kein_Niedermoor,Hochmoor,0,P0259,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,1881.793478260869,0.6236413043478262,2496.6,Kein_Niedermoor,Hochmoor,0,P0260,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,5000.0,0.0,2555.4,Kein_Niedermoor,Hochmoor,0,P0261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,5000.0,0.0,2540.8,Kein_Niedermoor,Hochmoor,0,P0262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,5000.0,0.0,2570.0,Kein_Niedermoor,Hochmoor,0,P0263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,621.3872832369942,0.8757225433526011,2548.1,Kein_Niedermoor,Hochmoor,0,P0264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,5000.0,0.0,2544.4,Kein_Niedermoor,Hochmoor,0,P0265,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,5000.0,0.0,2500.3,Kein_Niedermoor,Hochmoor,0,P0266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,5000.0,0.0,2522.2,Kein_Niedermoor,Hochmoor,0,P0267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,5000.0,0.0,2519.5,Kein_Niedermoor,Hochmoor,0,P0268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,5000.0,0.0,2544.3,Kein_Niedermoor,Hochmoor,0,P0269,"{""type"":""MultiPoint"",""coordinates"":[]}"
